TeamID,TeamName,xG_Per_Shot,TiriManual,TiriPortaManual
170,Augsburg,0.14,,
168,Bayer Leverkusen,0.14,,
157,Bayern Munich,0.16,,
175,Hamburger SV,0.08,,
165,Borussia Dortmund,0.11,,
163,Borussia Monchengladbach,0.1,,
169,Eintracht Frankfurt,0.13,,
160,Freiburg,0.09,,
174,Schalke,0.15,11.5,3.9
167,Hoffenheim,0.12,,
192,FC Köln,0.14,,
164,Mainz 05,0.12,,
173,RB Leipzig,0.12,,
1660,Elversberg,0.16,10.0,3.4
172,Stuttgart,0.14,,
182,Union Berlin,0.11,,
162,Werder Bremen,0.08,,
185,Paderborn,0.06,10.5,3.6
