TeamID,TeamName,xG_Per_Shot,TiriManual,TiriPortaManual
542,Alaves,0.13,,
531,Athletic Club,0.13,,
530,Atletico Madrid,0.07,,
529,Barcelona,0.18,,
538,Celta Vigo,0.09,,
540,Espanyol,0.12,,
546,Getafe,0.1,,
535,Malaga,0.09,9.5,3.2
4665,Racing Santander,0.14,9.0,3.0
797,Elche,0.11,,
544,Deportivo La Coruna,0.12,10.0,3.4
727,Osasuna,0.17,,
728,Rayo Vallecano,0.14,,
543,Real Betis,0.07,,
541,Real Madrid,0.15,,
548,Real Sociedad,0.09,,
536,Sevilla,0.11,,
532,Valencia,0.1,,
539,Levante,0.12,,
533,Villarreal,0.12,,
